,,,,Independent Variable Independent Variable camera,Independent Variable Independent Variable comments_video,Independent Variable Independent Variable family,Independent Variable Independent Variable id,Independent Variable Independent Variable Missed samples %,Independent Variable Independent Variable Recording after,Independent Variable Independent Variable start (s),Independent Variable Independent Variable Subject not found %,Independent Variable Independent Variable Video file,Independent Variable Independent Variable week,Distance moved center-point Total cm,Velocity center-point Mean cm/s,Movement Moving / center-point Cumulative Duration s,Movement Not Moving / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration %,In zone blank / center-point Cumulative Duration s,In zone blank / center-point Cumulative Duration %,Mobility Body fill Mean %,Mobility state Highly mobile Cumulative Duration s,Mobility state Mobile Cumulative Duration s,Mobility state Immobile Cumulative Duration s
5 minutes,Trial     2,Arena 3,In blank,B,spider was on the walls sometimes,BL2,BL2_01,0.0 %,+ 00:05:00.072,300,43.1 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"24,1418","0,293846","33,1192","54,3186",0,0,"90,4777","15,076","18,9768","4,63988","65,9984","16,9596"
5 minutes,Trial     2,Arena 4,In cue,B,nc,BS11,BS11_01,0.0 %,+ 00:05:00.072,300,3.2 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"30,7981","0,130992","42,8789","197,115","241,514","40,2426",0,0,"11,6352","4,79988","190,155","45,0389"
5 minutes,Trial     2,Arena 4,In blank,B,nc,BS11,BS11_01,0.0 %,+ 00:05:00.072,300,3.2 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"8,79777","0,20672","8,31979","35,5191",0,0,"45,1189","7,518","14,5337","2,79993","38,559","3,03992"
5 minutes,Trial     2,Arena 5,In cue,B,spider was on the walls sometimes,BS7,S7_01,0.0 %,+ 00:05:00.072,300,62.3 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"45,7746","0,733585","22,9594","41,199","65,4384","10,9038",0,0,"25,983","11,3597","46,9588","5,83985"
5 minutes,Trial     2,Arena 5,In blank,B,spider was on the walls sometimes,BS7,S7_01,0.0 %,+ 00:05:00.072,300,62.3 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"41,7766","0,313646","34,0791","104,557",0,0,"139,757","23,2871","16,3421","7,67981","123,597","7,43981"
5 minutes,Trial     2,Arena 6,In cue,B,spider was on the walls sometimes,BS9,S9_01,0.0 %,+ 00:05:00.072,300,35.7 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"32,8","0,457601","23,5994","49,9988","74,8781","12,4767",0,0,"25,8541","11,4397","55,9986","6,15985"
5 minutes,Trial     2,Arena 6,In blank,B,spider was on the walls sometimes,BS9,S9_01,0.0 %,+ 00:05:00.072,300,35.7 %,F:\Pisaura UWI Projekt\B\DCIM\166RDPHH\S1660001.MP4,1,"19,66","0,293615","14,5596","52,6387",0,0,"67,2783","11,2103","17,602","5,75986","46,7988","14,6396"
5 minutes,Trial     3,Arena 1,In cue,A,nc,BL2,BL2_03,0.0 %,+ 00:03:15.035,195,10.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     3,Arena 1,In blank,A,nc,BL2,BL2_03,0.0 %,+ 00:03:15.035,195,10.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"15,5911","0,0571201","15,0396","258,314",0,0,"273,833","45,6278","7,63673","3,11992","174,076","96,1576"
5 minutes,Trial     3,Arena 2,In cue,A,spider was on the walls sometimes,BS4,S4_02,0.0 %,+ 00:03:15.035,195,45.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"11,5307","0,483684","16,4796","11,0397","29,6793","4,94535",0,0,"26,5342","2,31994","18,7995","6,39984"
5 minutes,Trial     3,Arena 2,In blank,A,spider was on the walls sometimes,BS4,S4_02,0.0 %,+ 00:03:15.035,195,45.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"17,3512","0,208754","16,9596","66,6383",0,0,"83,9179","13,9829","14,1094","4,23989","45,7589","33,5992"
5 minutes,Trial     3,Arena 3,In cue,A,spider was on the walls a long time,BM1,M1_02,0.0 %,+ 00:03:15.035,195,20.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"14,3689","0,296396","15,3596","35,9991","53,3587","8,89096",0,0,"20,4169","3,03992","39,119","9,27977"
5 minutes,Trial     3,Arena 3,In blank,A,spider was on the walls a long time,BM1,M1_02,0.0 %,+ 00:03:15.035,195,20.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"14,0933","0,0885723","17,2796","142,316",0,0,"160,796","26,7929","9,31978","2,39994","91,1977","65,9984"
5 minutes,Trial     3,Arena 4,In cue,A,spider was on the walls a long time,BS9,S9_02,0.0 %,+ 00:03:15.035,195,45.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
5 minutes,Trial     3,Arena 4,In blank,A,spider was on the walls a long time,BS9,S9_02,0.0 %,+ 00:03:15.035,195,45.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680002.MP4,1,"18,957","0,137692","17,5196","120,877",0,0,"138,637","23,1005","8,7296","4,87988","28,7993","104,717"
