,,,,Independent Variable Independent Variable camera,Independent Variable Independent Variable comments_video,Independent Variable Independent Variable family,Independent Variable Independent Variable id,Independent Variable Independent Variable Missed samples %,Independent Variable Independent Variable Recording after,Independent Variable Independent Variable start (s),Independent Variable Independent Variable Subject not found %,Independent Variable Independent Variable Video file,Independent Variable Independent Variable week,Distance moved center-point Total cm,Velocity center-point Mean cm/s,Movement Moving / center-point Cumulative Duration s,Movement Not Moving / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration s,In zone cue / center-point Cumulative Duration %,In zone blank / center-point Cumulative Duration s,In zone blank / center-point Cumulative Duration %,Mobility Body fill Mean %,Mobility state Highly mobile Cumulative Duration s,Mobility state Mobile Cumulative Duration s,Mobility state Immobile Cumulative Duration s
10 minutes,Trial     5,Arena 2,In blank,A,nc,BS8,S8_03,0.0 %,+ 00:04:30.073,270,99.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"32,7987","24,1173","1,35997",0,0,0,"1,43996","0,279243","74,9549","0,879978","0,39999","0,079998"
10 minutes,Trial     5,Arena 3,In cue,A,spider on the walls not seen sometimes,BL2,BL2_05,0.0 %,+ 00:04:30.073,270,24.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"27,7501","0,164869","33,2792","136,797","170,716","33,1058",0,0,"11,2256","5,75986","69,9183","94,3976"
10 minutes,Trial     5,Arena 3,In blank,A,spider on the walls not seen sometimes,BL2,BL2_05,0.0 %,+ 00:04:30.073,270,24.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"69,3575","0,31723","58,9585","162,956",0,0,"224,554","43,5464","14,2147","9,35977","126,877","85,9979"
10 minutes,Trial     5,Arena 4,In cue,A,nc,BQ3,BQ3_04,0.0 %,+ 00:04:30.073,270,2.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"18,1254","0,0674527","32,6392","236,714","270,393","52,4356",0,0,"8,63234","1,03997","181,675","86,6378"
10 minutes,Trial     5,Arena 4,In blank,A,nc,BQ3,BQ3_04,0.0 %,+ 00:04:30.073,270,2.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"25,6926","0,109613","17,8396","216,555",0,0,"234,394","45,4545","8,00581","0,959976","162,476","70,9582"
10 minutes,Trial     5,Arena 5,In cue,A,nc,BM1,M1_03,0.0 %,+ 00:04:30.073,270,1.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"6,95023","0,998622","5,91985","1,35997","7,35982","1,42724",0,0,"53,3367","2,31994","4,63988","0,319992"
10 minutes,Trial     5,Arena 5,In blank,A,nc,BM1,M1_03,0.0 %,+ 00:04:30.073,270,1.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"79,4037","0,159347","90,9577","409,67",0,0,"502,787","97,5023","11,5933","11,0397","347,111","142,556"
10 minutes,Trial     5,Arena 6,In cue,A,spider on the walls not seen sometimes,BS4,S4_04,0.0 %,+ 00:04:30.073,270,56.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"56,482","0,316895","63,4384","121,677","189,675","36,7825",0,0,"18,629","8,31979","124,237","52,6387"
10 minutes,Trial     5,Arena 6,In blank,A,spider on the walls not seen sometimes,BS4,S4_04,0.0 %,+ 00:04:30.073,270,56.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\1-3;168RDPHH\S1680003.MP4,1,"18,2186","0,418636","11,0397","32,7192",0,0,"44,8789","8,70307","20,4853","3,03992","34,7991","5,91985"
10 minutes,Trial     6,Arena 1,In cue,B,nc,BS9,S9_03,0.0 %,+ 00:02:35.036,155,3.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"13,9953","0,555383","13,5997","12,0797","25,8394","4,30552",0,0,"27,3403","2,79993","21,2795","1,59996"
10 minutes,Trial     6,Arena 1,In blank,B,nc,BS9,S9_03,0.0 %,+ 00:02:35.036,155,3.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"82,3321","0,148682","143,996","409,99",0,0,"554,146","92,3354","13,4495","6,63983","470,148","77,1981"
10 minutes,Trial     6,Arena 2,In cue,B,nc,BS6,S6_05,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"9,30615","0,0155086",0,"600,065","600,145",100,0,0,"4,49777",0,"220,074","379,991"
10 minutes,Trial     6,Arena 2,In blank,B,nc,BS6,S6_05,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial     6,Arena 3,In cue,B,spider on the walls not seen sometimes,BS11,BS11_03,0.0 %,+ 00:02:35.036,155,67.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"22,5502","0,138246","26,5593","141,276","170,716","28,4457",0,0,"10,2516","3,43991","80,878","83,5179"
10 minutes,Trial     6,Arena 3,In blank,B,spider on the walls not seen sometimes,BS11,BS11_03,0.0 %,+ 00:02:35.036,155,67.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"24,8429","0,946781","29,9993","0,079998",0,0,"33,6792","5,61184","49,4823","3,35992","26,7193",0
10 minutes,Trial     6,Arena 4,In cue,B,nc,BM2,BM2_03,0.0 %,+ 00:02:35.036,155,11.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"4,07022","50,879","0,079998",0,"0,079998","0,0133298",0,0,100,"0,079998",0,0
10 minutes,Trial     6,Arena 4,In blank,B,nc,BM2,BM2_03,0.0 %,+ 00:02:35.036,155,11.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"104,468","0,197921","66,9583","464,068",0,0,"532,627","88,7497","6,20089","6,23984","145,196","379,591"
10 minutes,Trial     6,Arena 5,In cue,B,spider escaped during video,BS3,S3_03,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial     6,Arena 5,In blank,B,spider escaped during video,BS3,S3_03,0.0 %,+ 00:02:35.036,155,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"44,9108","0,0748432","176,636","423,429",0,0,"600,145",100,"5,12918",0,"259,274","340,791"
10 minutes,Trial     6,Arena 6,In cue,B,nc,BS7,S7_03,0.0 %,+ 00:02:35.036,155,65.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"18,3436","0,382168","23,3594","28,3993","54,7186","9,11757",0,0,"25,0276","3,9999","43,5989","4,23989"
10 minutes,Trial     6,Arena 6,In blank,B,nc,BS7,S7_03,0.0 %,+ 00:02:35.036,155,65.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\1-3;166RDPHH\S1660003.MP4,1,"37,1273","0,249384","57,9186","102,957",0,0,"169,436","28,2325","18,0945","5,83985","127,517","27,5993"
10 minutes,Trial     7,Arena 1,In cue,A,nc,BS9,S9_04,0.0 %,+ 00:02:15.037,135,4.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"46,1387","1,35705","13,3597","20,8795","34,8791","5,81178",0,0,"27,7094","6,15985","25,1994","2,87993"
10 minutes,Trial     7,Arena 1,In blank,A,nc,BS9,S9_04,0.0 %,+ 00:02:15.037,135,4.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"50,7369","0,0942529","85,5179","452,949",0,0,"538,467","89,7227","11,0095","4,1599","470,148","64,1584"
10 minutes,Trial     7,Arena 2,In cue,A,spider on the walls not seen sometimes,BS6,S6_12,0.0 %,+ 00:02:15.037,135,51.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"24,5814","0,199659","21,4395","103,117","125,357","20,8878",0,0,"11,5926","3,51991","85,1979","35,8391"
10 minutes,Trial     7,Arena 2,In blank,A,spider on the walls not seen sometimes,BS6,S6_12,0.0 %,+ 00:02:15.037,135,51.6 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"47,9341","0,291152","53,3587","115,837",0,0,"171,036","28,4991","14,717","7,19982","102,957","59,1985"
10 minutes,Trial     7,Arena 3,In cue,A,spider on the walls not seen sometimes,BS8,S8_04,0.0 %,+ 00:02:15.037,135,50.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"48,7775","0,192406","85,3579","172,476","259,114","43,1752",0,0,"6,60635","1,91995","110,237","146,076"
10 minutes,Trial     7,Arena 3,In blank,A,spider on the walls not seen sometimes,BS8,S8_04,0.0 %,+ 00:02:15.037,135,50.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"16,6386","0,433307","26,5593","11,8397",0,0,"39,039","6,50493","8,70647","0,79998","16,8796","20,7995"
10 minutes,Trial     7,Arena 4,In cue,A,spider on the walls not seen sometimes,BS7,S7_05,0.0 %,+ 00:02:15.037,135,37.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"47,6045","0,245795","60,8785","135,997","198,315","33,0445",0,0,"18,7898","10,8797","172,636","13,3597"
10 minutes,Trial     7,Arena 4,In blank,A,spider on the walls not seen sometimes,BS7,S7_05,0.0 %,+ 00:02:15.037,135,37.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"40,6499","0,227966","43,9989","135,917",0,0,"180,555","30,0853","17,3649","9,27977","157,356","13,3597"
10 minutes,Trial     7,Arena 5,In cue,A,nc,BM1,M1_04,0.0 %,+ 00:02:15.037,135,41.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"27,2382","0,450378","23,3594","38,319","63,1184","10,5172",0,0,"18,3456","3,9999","49,7588","7,9198"
10 minutes,Trial     7,Arena 5,In blank,A,nc,BM1,M1_04,0.0 %,+ 00:02:15.037,135,41.2 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"85,0951","0,293358","75,4381","217,355",0,0,"294,313","49,0403","12,7617","9,35977","200,795","82,6379"
10 minutes,Trial     7,Arena 6,In cue,A,spider on the walls not seen sometimes,BQ1,Q1_06,0.0 %,+ 00:02:15.037,135,65.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"17,9698","0,125561","14,8796","129,197","144,636","24,1002",0,0,"11,178","2,71993","126,077","15,2796"
10 minutes,Trial     7,Arena 6,In blank,A,spider on the walls not seen sometimes,BQ1,Q1_06,0.0 %,+ 00:02:15.037,135,65.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690001.MP4,1,"25,0417","0,40132","34,1591","31,2792",0,0,"67,9183","11,317","18,6462","5,59986","40,959","19,1995"
10 minutes,Trial     8,Arena 1,In cue,B,nc,BM2,BM2_04,0.0 %,+ 00:02:55.036,175,27.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"25,1586","0,10054","41,039","212,395","254,794","42,4553",0,0,"9,46786","3,9999","130,477","118,957"
10 minutes,Trial     8,Arena 1,In blank,B,nc,BM2,BM2_04,0.0 %,+ 00:02:55.036,175,27.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"22,7866","0,125094","32,5592","153,116",0,0,"188,075","31,3383","10,4826","4,63988","93,5177","87,5978"
10 minutes,Trial     8,Arena 2,In cue,B,nc,BQ3,BQ3_05,0.0 %,+ 00:02:55.036,175,18.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"36,4144","0,10807","64,3184","281,833","352,391","58,7177",0,0,"10,4838","5,19987","177,196","163,916"
10 minutes,Trial     8,Arena 2,In blank,B,nc,BQ3,BQ3_05,0.0 %,+ 00:02:55.036,175,18.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"28,9762","0,204871","52,8787","95,8376",0,0,"153,436","25,5665","15,4077","2,95993","85,1979","61,1185"
10 minutes,Trial     8,Arena 3,In cue,B,spider on the walls not seen most of the time,BS4,S4_05,0.0 %,+ 00:02:55.036,175,65.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"32,1565","0,569358","31,6792","25,5994","57,5186","9,58411",0,0,"34,164","10,3997","33,2792","13,5997"
10 minutes,Trial     8,Arena 3,In blank,B,spider on the walls not seen most of the time,BS4,S4_05,0.0 %,+ 00:02:55.036,175,65.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"41,0953","0,270655","41,519","114,157",0,0,"157,916","26,313","17,4803","10,6397","71,9982","73,3582"
10 minutes,Trial     8,Arena 4,In cue,B,spider on the walls not seen sometimes,BS3,S3_04,0.0 %,+ 00:02:55.036,175,53.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"29,0053","0,141686","37,7591","168,796","207,675","34,6041",0,0,"12,3973","4,95988","124,957","76,6381"
10 minutes,Trial     8,Arena 4,In blank,B,spider on the walls not seen sometimes,BS3,S3_04,0.0 %,+ 00:02:55.036,175,53.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"17,7695","0,241177","21,1995","57,2786",0,0,"82,3179","13,7163","15,1505","6,47984","32,3192","40,079"
10 minutes,Trial     8,Arena 5,In cue,B,nc,BL2,BL2_06,0.0 %,+ 00:02:55.036,175,26.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"30,7928","0,957511","26,3193","12,4797","45,8389","7,63796",0,0,"45,9082","8,95978","18,6395","11,5997"
10 minutes,Trial     8,Arena 5,In blank,B,nc,BL2,BL2_06,0.0 %,+ 00:02:55.036,175,26.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"59,3447","0,147774","105,437","297,753",0,0,"403,59","67,2487","12,0281","4,23989","220,394","178,556"
10 minutes,Trial     8,Arena 6,In cue,B,spider on the walls not seen most of the time,BS11,BS11_04,0.0 %,+ 00:02:55.036,175,60.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"37,0202","0,293819","34,5591","94,0776","129,917","21,6476",0,0,"16,6515","9,35977","60,4785","58,7985"
10 minutes,Trial     8,Arena 6,In blank,B,spider on the walls not seen most of the time,BS11,BS11_04,0.0 %,+ 00:02:55.036,175,60.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670001.MP4,1,"29,3527","0,266076","22,3194","92,3177",0,0,"117,837","19,6348","13,9806","7,75981","66,6383","40,319"
10 minutes,Trial     9,Arena 1,In cue,A,spider on the walls not seen sometimes,BM1,M1_05,0.0 %,+ 00:03:50.074,230,77.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"29,2874","0,240698","71,0382","62,2384","141,916","23,647",0,0,"18,1423","2,15995","120,477","11,0397"
10 minutes,Trial     9,Arena 1,In blank,A,spider on the walls not seen sometimes,BM1,M1_05,0.0 %,+ 00:03:50.074,230,77.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"6,23492","0,895844","5,51986","3,11992",0,0,"9,91975","1,65289","24,4195","1,83995","5,59986","1,19997"
10 minutes,Trial     9,Arena 2,In cue,A,spider on the walls not seen sometimes,BS6,S6_13,0.0 %,+ 00:03:50.074,230,71.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"28,2122","3,87539","5,75986","1,99995","8,0798","1,34631",0,0,"25,6335","1,03997","6,39984","0,319992"
10 minutes,Trial     9,Arena 2,In blank,A,spider on the walls not seen sometimes,BS6,S6_13,0.0 %,+ 00:03:50.074,230,71.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"92,9665","0,577016","22,9594","142,876",0,0,"170,716","28,4457","9,92315","3,35992","96,5576","66,0783"
10 minutes,Trial     9,Arena 3,In cue,A,nc,BS3,S3_05,0.0 %,+ 00:03:50.074,230,88.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"30,9489","0,466109","20,3995","47,8388","69,2783","11,5436",0,0,"15,8812","3,03992","57,9985","7,27982"
10 minutes,Trial     9,Arena 3,In blank,A,nc,BS3,S3_05,0.0 %,+ 00:03:50.074,230,88.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial     9,Arena 4,In cue,A,spider on the walls not seen sometimes,BS7,S7_11,0.0 %,+ 00:03:50.074,230,16.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"14,718","0,0777268","31,9192","164,076","203,675","33,9376",0,0,"9,23324","0,39999","140,556","55,6786"
10 minutes,Trial     9,Arena 4,In blank,A,spider on the walls not seen sometimes,BS7,S7_11,0.0 %,+ 00:03:50.074,230,16.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"49,4902","0,16657","92,7177","227,594",0,0,"331,512","55,2386","11,2716","1,51996","273,673","46,0788"
10 minutes,Trial     9,Arena 5,In cue,A,nc,BQ1,Q1_08,0.0 %,+ 00:03:50.074,230,1.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"20,7389","0,0426808","19,1195","469,108","489,508","81,5649",0,0,"7,09632","0,879978","318,952","168,396"
10 minutes,Trial     9,Arena 5,In blank,A,nc,BQ1,Q1_08,0.0 %,+ 00:03:50.074,230,1.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"8,45982","0,0824243","13,6797","91,1177",0,0,"106,237","17,7019","10,2368",0,"81,438","23,3594"
10 minutes,Trial     9,Arena 6,In cue,A,spider on the walls not seen sometimes,BS11,BS11_05,0.0 %,+ 00:03:50.074,230,60.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"83,7997","0,922115","57,4386","41,679","104,957","17,4887",0,0,"19,5159","4,47989","84,4779","10,5597"
10 minutes,Trial     9,Arena 6,In blank,A,spider on the walls not seen sometimes,BS11,BS11_05,0.0 %,+ 00:03:50.074,230,60.9 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690002.MP4,1,"43,3397","0,327149","45,7589","97,4376",0,0,"151,756","25,2866","13,8016","2,07995","113,757","27,3593"
10 minutes,Trial    10,Arena 1,In cue,B,spider on the walls not seen sometimes,BS4,S4_06,0.0 %,+ 00:02:40.076,160,32.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"24,483","0,302715","24,8794","58,7185","84,7179","14,1162",0,0,"18,7753","4,0799","67,8383","11,6797"
10 minutes,Trial    10,Arena 1,In blank,B,spider on the walls not seen sometimes,BS4,S4_06,0.0 %,+ 00:02:40.076,160,32.4 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"12,0736","0,0373945","13,1997","310,792",0,0,"323,992","53,9856","6,79852","0,239994","233,194","90,5577"
10 minutes,Trial    10,Arena 2,In cue,B,nc,BS9,S9_06,0.0 %,+ 00:02:40.076,160,26.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"4,78253","14,9458","0,319992",0,"0,39999","0,0666489",0,0,"78,1046","0,239994","0,079998",0
10 minutes,Trial    10,Arena 2,In blank,B,nc,BS9,S9_06,0.0 %,+ 00:02:40.076,160,26.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"112,992","0,258498","149,996","295,753",0,0,"456,309","76,0331","16,6039","11,1197","340,231","94,9576"
10 minutes,Trial    10,Arena 3,In cue,B,nc,BQ3,BQ3_06,0.0 %,+ 00:02:40.076,160,4.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"19,4386","0,927435","10,4797","10,9597","21,8395","3,63903",0,0,"46,6173","8,39979","11,0397","1,99995"
10 minutes,Trial    10,Arena 3,In blank,B,nc,BQ3,BQ3_06,0.0 %,+ 00:02:40.076,160,4.5 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"76,015","0,138212","130,077","422,709",0,0,"554,866","92,4553","14,1642","12,7997","479,908","60,1585"
10 minutes,Trial    10,Arena 4,In cue,B,spider on the walls not seen sometimes,BL2,BL2_09,0.0 %,+ 00:02:40.076,160,34.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"49,9922","0,241281","74,6381","141,676","221,834","36,9635",0,0,"18,157","11,9197","166,796","37,6791"
10 minutes,Trial    10,Arena 4,In blank,B,spider on the walls not seen sometimes,BL2,BL2_09,0.0 %,+ 00:02:40.076,160,34.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"64,1644","0,359837","42,2389","137,837",0,0,"181,355","30,2186","15,8226","8,0798","153,596","18,6395"
10 minutes,Trial    10,Arena 5,In cue,B,nc,BM2,BM2_05,0.0 %,+ 00:02:40.076,160,32.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"51,3529","0,376718","63,1184","75,1981","140,396","23,3938",0,0,"23,3183","11,2797","116,877","10,1597"
10 minutes,Trial    10,Arena 5,In blank,B,nc,BM2,BM2_05,0.0 %,+ 00:02:40.076,160,32.3 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"48,5592","0,182998","64,3984","207,035",0,0,"274,953","45,8144","15,637","11,5197","227,834","32,3992"
10 minutes,Trial    10,Arena 6,In cue,B,spider on the walls not seen sometimes,BS8,S8_05,0.0 %,+ 00:02:40.076,160,12.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"98,2801","0,234497","82,3179","345,671","429,749","71,6076",0,0,"12,6504","8,87978","351,831","67,2783"
10 minutes,Trial    10,Arena 6,In blank,B,spider on the walls not seen sometimes,BS8,S8_05,0.0 %,+ 00:02:40.076,160,12.7 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\B\DCIM\4-6;167RDPHH\S1670002.MP4,1,"37,8367","0,385155","43,7589","57,9985",0,0,"103,437","17,2354","17,0417","5,11987","80,958","15,6796"
10 minutes,Trial    11,Arena 1,In cue,A,from minute 11 letters/lines detected,BS11,BS11_06,0.0 %,+ 00:03:55.034,235,0.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690003.MP4,1,"7,99303","0,0565132","2,31994","139,117","141,436","23,567",0,0,"6,18252","0,239994","91,2777","49,9188"
10 minutes,Trial    11,Arena 1,In blank,A,from minute 11 letters/lines detected,BS11,BS11_06,0.0 %,+ 00:03:55.034,235,0.1 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690003.MP4,1,"97,7837","0,213843","29,6793","428,629",0,0,"458,709","76,433","7,20988","4,0799","220,794","233,514"
10 minutes,Trial    11,Arena 2,In cue,A,from minute 11 letters/lines detected,BS9,S9_07,0.0 %,+ 00:03:55.034,235,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690003.MP4,1,-,-,-,-,-,-,-,-,-,-,-,-
10 minutes,Trial    11,Arena 2,In blank,A,from minute 11 letters/lines detected,BS9,S9_07,0.0 %,+ 00:03:55.034,235,0.0 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690003.MP4,1,"15,045","0,0250723","1,75996","598,225",0,0,"600,145",100,"4,75837","0,159996","248,634","351,271"
10 minutes,Trial    11,Arena 3,In cue,A,from minute 11 letters/lines detected,BS7,S7_15,0.0 %,+ 00:03:55.034,235,18.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690003.MP4,1,"63,0637","0,208936","123,037","192,875","325,912","54,3055",0,0,"15,1831","6,63983","234,954","74,9581"
10 minutes,Trial    11,Arena 3,In blank,A,from minute 11 letters/lines detected,BS7,S7_15,0.0 %,+ 00:03:55.034,235,18.8 %,D:\TME Project\Documents\EthoVision XT\Experiments\Videos 2019\A\DCIM\4-6;169RDPHH\S1690003.MP4,1,"60,0429","0,341939","49,5188","128,957",0,0,"179,516","29,912","12,5435","3,9199","114,717","59,9185"
